Order,Scene_ID,Scene_Name,Day,Time,Scene_Type,Narrative_Location,Canonical_Location,Situation_State,Entry_Trigger,Primary_BGM,BGM_Action,BGM_Volume,Crossfade_Sec,Ambient_Layer_1,Ambient1_Volume,Ambient_Layer_2,Ambient2_Volume,Entry_Stinger,Event_SFX,Ducking_Rule,Exit_Rule,Conditional_Override,Implementation_Notes,Repo_Update,Confidence,Source_Basis
1,P-01,항구의 기자,프롤로그,15:10,Prologue,PORT,PORT,도착·경고·관찰 튜토리얼,씬 진입 완료,BGM/Passage_to_Port,CrossfadeAndLoop,0.56,2.0,SoundEffect/Sound_of_waves_on_the_beach_1,0.42,SoundEffect/wind_noise,0.26,,SoundEffect/shoe_footsteps_sound_2; SoundEffect/finger snap,"대화 시 BGM -5dB, 앰비언스 -3dB",P-02 전환까지 유지,Daniel의 경고 문장 직전 BGM 10% 감쇠 선박 접근/출항 순간 boat_engine_sound를 0.24로 페이드인.,"여정의 시작은 밝게, 경고에서는 잠시 공간을 비운다.",wind_noise + boat_engine_sound 반영,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
2,P-02,승선 명단의 오류,프롤로그,15:35,Prologue,GANGWAY,GANGWAY,승선·명단 모순,위치 변경 완료,BGM/Passage_to_Port,ContinueIfSame,0.52,1.2,SoundEffect/boat_engine_sound,0.28,SoundEffect/Cafe_buzzing_sound,0.24,,SoundEffect/Book Page Turning; SoundEffect/shoe_footsteps_sound_2; SoundEffect/finger snap,대화 시 BGM -5dB,P-03 로드 때 크로스페이드,명단 수정자 질문 성공 시 finger snap,같은 여정 테마를 이어 장소 이동감을 유지한다.,boat_engine_sound 반영,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
3,P-03,회장의 부탁,프롤로그,16:20,Prologue,DECK10_SUITE,RICHARD_SUITE,의뢰·협박장·Orpheus 공식 설명,문 닫힘/대화 시작,BGM/The_Mahogany_Ledger(Theme_Richard Hawthorne_Evelyn_Shaw),CrossfadeAndLoop,0.48,2.2,,0.0,,0.0,,SoundEffect/Book Page Turning; SoundEffect/Type_Writer,대화 시 BGM -6dB,D1-01 진입 때 해제,아들 사진 조사 시 The_Long_Watch를 8초간 낮게 오버레이하지 말고 현재 BGM만 -4dB,권력과 은폐의 테마를 첫 노출한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
4,D1-01,승객 소개,Day 1,17:00,Investigation,DECK8_ATRIUM,ATRIUM,자유 대화·용의자 소개,아트리움 진입,BGM/Passage_to_Port,CrossfadeAndLoop,0.52,2.0,SoundEffect/Cafe_buzzing_sound,0.34,,0.0,,SoundEffect/shoe_footsteps_sound_2,대화 대상 선택 시 BGM -4dB,D1-02 전환까지 유지,모든 소개 완료 시 Whoop_-_a_short_2를 0.25 볼륨,초기 탐색의 개방감과 선내 생활감을 유지한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
5,D1-02,불편한 만찬,Day 1,19:30,Investigation,DECK9_DINING,DINING,만찬·언쟁·긴장 상승,식당 착석,BGM/Last_Waltz_on_the_Elysium,CrossfadeAndLoop,0.5,2.0,SoundEffect/Cafe_buzzing_sound,0.28,,0.0,,SoundEffect/The_sound_of_flipping_newspaper; SoundEffect/finger snap,대화 시 BGM -5dB,D1-03에서 같은 테마 유지 가능,"Daniel-Claire 언쟁 시작 시 The_Mahogany_Ledger로 1.5초 크로스페이드, 언쟁 종료 후 Last_Waltz 복귀",평온한 만찬과 기업 비밀의 충돌을 음악 변형으로 구분한다.,,중간,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
6,D1-03,선상파티,Day 1,21:00,Investigation,DECK9_BALLROOM,BALLROOM,파티·자유 탐문·카메라 조사,볼룸 문 열림,BGM/Last_Waltz_on_the_Elysium,ContinueIfSame,0.64,1.5,SoundEffect/Cafe_buzzing_sound,0.36,,0.0,,SoundEffect/shoe_footsteps_sound_2; SoundEffect/finger snap,"인물 대화 시 BGM -6dB, 군중 -4dB",D1-04 선택 시 빠르게 감쇠,Daniel 추적 선택 시 1.2초 동안 BGM LPF/볼륨 감쇠 후 Adrian 테마로 전환,파티 음악은 다이에제틱처럼 느끼되 실제 구현은 BGM 버스로 관리한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
7,D1-04,사라진 기자,Day 1,21:22,Investigation,SERVICE7,SERVICE7,은밀한 추적·서비스 출입 로그,서비스 문 닫힘,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.5,1.2,SoundEffect/factory_exhaust_fan_sound,0.11,,0.0,,SoundEffect/shoe_footsteps_sound_2; SoundEffect/Type_Writer; SoundEffect/finger snap; SoundEffect/The_sound_of_an_iron_door_opening_and_closing,승무원 NPC 대화 시 BGM -5dB,D1-05 진입 시 페이드,"몰래 추적 선택 시 발걸음 간격을 짧게, 경비 알리기 선택 시 발걸음 생략",공공 공간과 분리된 좁은 서비스 구역의 긴장을 만든다. 서비스 출입문 애니메이션의 실제 개폐 프레임에 철문 SFX 동기화.,철문 개폐 + 팬 레이어 반영,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
8,D1-05,수상한 호출,Day 1,22:35,Investigation,DECK9_BALLROOM,BALLROOM,파티 속 은밀한 메시지,볼룸 재진입/이벤트 시작,BGM/The_Mahogany_Ledger(Theme_Richard Hawthorne_Evelyn_Shaw),CrossfadeAndLoop,0.5,1.4,SoundEffect/Cafe_buzzing_sound,0.2,,0.0,,SoundEffect/Type_Writer; SoundEffect/finger snap,"대화 시 BGM -6dB, 군중 -6dB",D1-06 직전 0.8초 무음,"메시지 원문 표시 시 Type_Writer, 메타데이터 획득 시 finger snap",같은 볼룸이지만 D1-03과 다른 상황임을 씬 오버라이드로 명확히 한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
9,D1-06,발견,Day 1,22:45,Investigation,HORIZON,HORIZON,시신 발견·현장 봉쇄 선택,Horizon 문 개방,BGM/The_Horizon_Room,HardCutThenLoop,0.58,0.3,,0.0,,0.0,SoundEffect/boom_sound_effect,SoundEffect/shoe_footsteps_sound_2; SoundEffect/finger snap,시신 확인 대사 시 BGM -8dB,D1-07 로드 때 2초 페이드,시신 실루엣 첫 노출에 boom 0.35 볼륨; 즉시 봉쇄 선택은 finger snap,게임의 핵심 장소 테마를 강하게 각인하되 고어 대신 저음 임팩트로 처리한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
10,D1-07,비밀 수사 계약,Day 1,23:10,Interrogation,MEDBAY,MEDBAY,비밀 수사·본편 시작,의무실 대화 시작,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.43,2.0,,0.0,,0.0,,SoundEffect/Book Page Turning; SoundEffect/finger snap,대화 시 BGM -6dB,Day 전환 직전 1.5초 페이드아웃,"계약 확정 시 finger snap, Day 전환에 The_sound_of_flipping_a_calendar",Adrian의 수사 주도권을 음악으로 선언한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
