line_id,scene_id,order,beat,line_type,speaker,text_ko,emotion,condition,choice_id,next_or_effect,stage_direction,voice_required,branch_group,implementation_note
P-01_001,P-01,1,opening,narration,NARRATION,엘리시움 호는 항구의 유리 지붕 너머에서 지나치게 새것처럼 빛나고 있었다.,observe,,,,PORT,N,,
P-01_002,P-01,2,opening,narration,NARRATION,"다니엘 머서는 탑승 줄에서 한 걸음 떨어져 있었다. 청록색 옷깃은 구겨져 있었고, 오른손은 주머니 속 진동을 계속 확인했다.",observe,,,,PORT,N,,
P-01_003,P-01,3,inspection,narration,NARRATION,[조사: 구겨진 초대장],observe,,,,PORT,N,,
P-01_004,P-01,4,inspection,inspection,ADRIAN,종이는 두 번 접혔다가 급히 펴졌다. 리처드의 전자서명은 선명하지만 발송 코드가 초대장 본문과 다른 서체다.,focused,,,,PORT,Y,,
P-01_005,P-01,5,evidence,system,SYSTEM,단서 획득: C-01 다니엘의 초대장,system,,,evidence:C-01,UI,N,,
P-01_006,P-01,6,inspection,narration,NARRATION,[조사: 암호화 메신저 알림],observe,,,,PORT,N,,
P-01_007,P-01,7,inspection,inspection,ADRIAN,"발신자 표시는 없다. 미리보기에는 ‘선미, 21시 이후. 회장이 혼자일 때’라고 적혀 있다.",focused,,,,PORT,Y,,
P-01_008,P-01,8,evidence,system,SYSTEM,단서 획득: 보조 단서: 익명 제보 알림,system,,,flag:anonymous_tip_preview,UI,N,,
P-01_009,P-01,9,meeting,dialogue,DANIEL,아드리안 베일. 휴가 중인 탐정까지 불렀다면 호손도 불안하긴 한 모양이군요.,dry,,,,PORT,Y,,
P-01_010,P-01,10,meeting,dialogue,ADRIAN,우리가 아는 사이였습니까?,calm,,,,PORT,Y,,
P-01_011,P-01,11,meeting,dialogue,DANIEL,아뇨. 하지만 이름은 압니다. 흔적보다 시간이 먼저 거짓말한다고 말한 형사.,wry,,,,PORT,Y,,
P-01_012,P-01,12,meeting,dialogue,ADRIAN,기사는 오래 남는 모양이군요. 기자보다도.,dry,,,,PORT,Y,,
P-01_013,P-01,13,warning,dialogue,DANIEL,이번 여행이 끝나면 제 기사도 오래 남을 겁니다. 리처드 호손은 감옥에 있거나 바다에 있겠죠.,warning,,,,PORT,Y,,
P-01_014,P-01,14,warning,dialogue,ADRIAN,그 확신은 어디서 왔습니까?,focused,,,,PORT,Y,,
P-01_015,P-01,15,warning,dialogue,DANIEL,"15년 전 오르페우스 호. 보험금, 매수된 조사관, 사라진 항해 데이터. 누군가 제게 원본이 아직 배 안에 있다고 알려왔습니다.",intense,,,,PORT,Y,,
P-01_016,P-01,16,warning,dialogue,ADRIAN,익명 제보자를 믿습니까?,skeptical,,,,PORT,Y,,
P-01_017,P-01,17,warning,dialogue,DANIEL,사람은 안 믿습니다. 문서와 겁먹은 반응을 믿죠. 리처드는 제 이름을 듣자마자 승선 명단을 다시 보게 될 겁니다.,confident,,,,PORT,Y,,
P-01_018,P-01,18,trust_bonus,dialogue,DANIEL,"혹시 제가 약속 시간에 나타나지 않으면, 제 객실의 예약 기사를 먼저 보세요. 태블릿은 제가 가진 것 중 가장 위험한 물건입니다.",low,trust_daniel>=3,,,PORT,Y,,
P-01_019,P-01,19,choice_setup,dialogue,DANIEL,"한 가지만 기억하세요. 이 배에서 누가 무엇을 숨기는지보다, 누가 무엇을 너무 친절하게 설명하는지가 중요합니다.",warning,,,,PORT,Y,,
P-01_020,P-01,20,choice,choice,PLAYER_CHOICE,그의 경고를 진지하게 듣기,choice,,P-01_C1,trust_daniel:+1; flag:daniel_warning_taken,UI choice,N,P-01_WARN,
P-01_021,P-01,21,choice,choice,PLAYER_CHOICE,농담으로 넘기기,choice,,P-01_C2,trust_daniel:-1; flag:daniel_warning_dismissed,UI choice,N,P-01_WARN,
P-01_022,P-01,22,choice_result,branch_response,ADRIAN,약속합니다. 당신이 사라지면 먼저 시간을 확인하죠. 그리고 당신의 확신도 의심하겠습니다.,serious,choice(P-01_C1),,trust_daniel:+1,PORT,Y,P-01_WARN,
P-01_023,P-01,23,choice_result,branch_response,DANIEL,그 정도면 충분합니다. 제 편이 아니라 사실 편에 서주세요.,relieved,choice(P-01_C1),,,PORT,Y,P-01_WARN,
P-01_024,P-01,24,choice_result,branch_response,ADRIAN,"감옥과 바다 중 하나라니, 크루즈 홍보 문구로는 지나치게 정직하군요.",dry,choice(P-01_C2),,trust_daniel:-1,PORT,Y,P-01_WARN,
P-01_025,P-01,25,choice_result,branch_response,DANIEL,웃어두세요. 항구를 벗어나면 선택지가 줄어듭니다.,cold,choice(P-01_C2),,,PORT,Y,P-01_WARN,
P-01_026,P-01,26,close,system,SYSTEM,튜토리얼 완료: 관찰한 사물과 대화 키워드가 단서 보드에 등록됩니다.,system,,,scene_unlock:P-02,UI,N,,
P-02_001,P-02,1,opening,narration,NARRATION,승선 통로의 금속 바닥이 발걸음마다 낮게 울렸다. 이블린 쇼는 줄의 흐름을 멈추지 않은 채 명단을 수정하고 있었다.,observe,P-01,,,GANGWAY,N,,
P-02_002,P-02,2,check_in,dialogue,EVELYN,머서 씨. 등록된 동반 취재진은 없군요. 수하물 검사는 일반 승객과 동일하게 진행됩니다.,polite,,,,GANGWAY,Y,,
P-02_003,P-02,3,check_in,dialogue,DANIEL,초대한 쪽이 제 장비 목록까지 모르는 모양이네요.,dry,,,,GANGWAY,Y,,
P-02_004,P-02,4,check_in,dialogue,EVELYN,회장님의 초대는 재량이 넓습니다. 행정은 그보다 좁고요.,controlled,,,,GANGWAY,Y,,
P-02_005,P-02,5,richard_arrives,dialogue,RICHARD,머서? 누가 이 사람을—,startled,,,,GANGWAY,Y,,
P-02_006,P-02,6,richard_arrives,dialogue,EVELYN,회장님 명의의 특별 초청입니다. 전자서명도 일치합니다.,calm,,,,GANGWAY,Y,,
P-02_007,P-02,7,richard_arrives,dialogue,RICHARD,나는 그런 초대를 승인한 기억이 없소.,uneasy,,,,GANGWAY,Y,,
P-02_008,P-02,8,richard_arrives,dialogue,DANIEL,"기억은 기록보다 편리하죠, 호손 회장님.",provoking,,,,GANGWAY,Y,,
P-02_009,P-02,9,inspection,narration,NARRATION,[조사: 승선 명단],observe,,,,GANGWAY,N,,
P-02_010,P-02,10,inspection,inspection,ADRIAN,다니엘의 이름은 인쇄가 아니라 검은 잉크로 끼워 넣었다. 수정 이니셜 ‘이·에스’가 옆 칸에 남아 있다.,focused,,,,GANGWAY,Y,,
P-02_011,P-02,11,evidence,system,SYSTEM,단서 획득: 보조 단서: 수기 수정된 명단,system,,,flag:secretariat_access,UI,N,,
P-02_012,P-02,12,inspection,narration,NARRATION,[조사: 전자서명 검증창],observe,,,,GANGWAY,N,,
P-02_013,P-02,13,inspection,inspection,ADRIAN,서명 키는 리처드 개인 키가 맞다. 다만 발송 서버는 회장실이 아니라 비서실 게이트웨이다.,focused,,,,GANGWAY,Y,,
P-02_014,P-02,14,evidence,system,SYSTEM,단서 획득: C-01 다니엘의 초대장,system,,,evidence:C-01; flag:secretariat_server,UI,N,,
P-02_015,P-02,15,choice,choice,PLAYER_CHOICE,이블린에게 명단 수정자를 묻기,choice,,P-02_C1,flag:secretariat_authority,UI choice,N,P-02_ASK,
P-02_016,P-02,16,interrogation,branch_response,ADRIAN,명단의 수정 이니셜이 E·S입니다. 직접 고치셨습니까?,focused,choice(P-02_C1),,,GANGWAY,Y,P-02_ASK,
P-02_017,P-02,17,interrogation,branch_response,EVELYN,네. 탑승 지연을 막기 위한 행정 처리였습니다. 서명이 진짜라면 명단이 늦은 쪽이 문제니까요.,matter_of_fact,choice(P-02_C1),,,GANGWAY,Y,P-02_ASK,
P-02_018,P-02,18,interrogation,branch_response,ADRIAN,발송 서버도 비서실입니다.,press,choice(P-02_C1),,,GANGWAY,Y,P-02_ASK,
P-02_019,P-02,19,interrogation,branch_response,EVELYN,회장님 서신 대부분은 제 부서가 발송합니다. 권한과 의도가 같은 것은 아닙니다.,controlled,choice(P-02_C1),,flag:secretariat_authority,GANGWAY,Y,P-02_ASK,
P-02_020,P-02,20,close,dialogue,RICHARD,"베일, 내 스위트로 오시오. 지금 당장.",irritated,,,,GANGWAY,Y,,
P-02_021,P-02,21,trust_bonus,dialogue,DANIEL,당황은 기록보다 빨리 나타나죠. 봤습니까?,low,trust_daniel>=3,,,GANGWAY,Y,,
P-02_022,P-02,22,trust_bonus,dialogue,ADRIAN,봤습니다. 누가 초대했는지는 아직 못 봤지만.,calm,trust_daniel>=3,,,GANGWAY,Y,,
P-02_023,P-02,23,close,system,SYSTEM,플래그 획득: 비서실 발송 권한. 리처드의 초청 부인과 함께 저장되었습니다.,system,,,scene_unlock:P-03,UI,N,,
P-03_001,P-03,1,opening,narration,NARRATION,리처드의 스위트는 바다가 아니라 오래된 선박 사진을 향해 꾸며져 있었다. 가장 가까운 액자에는 젊은 리처드와 아들 줄리언이 서 있었다.,observe,P-02,,,DECK10_SUITE,N,,
P-03_002,P-03,2,briefing,dialogue,RICHARD,머서는 초대받지 않았소. 그자가 배에 오른 건 누군가 내 이름을 훔쳤기 때문이오.,defensive,,,,DECK10_SUITE,Y,,
P-03_003,P-03,3,briefing,dialogue,ADRIAN,그 누군가가 당신의 전자서명과 비서실 서버를 썼습니다.,focused,,,,DECK10_SUITE,Y,,
P-03_004,P-03,4,briefing,dialogue,RICHARD,그래서 당신을 부른 거요. 경찰을 부르면 출항 전부터 회사 주가가 침몰할 테니까.,bitter,,,,DECK10_SUITE,Y,,
P-03_005,P-03,5,inspection,narration,NARRATION,[조사: 익명 협박장],observe,,,,DECK10_SUITE,N,,
P-03_006,P-03,6,inspection,inspection,ADRIAN,활자 인쇄물이다. ‘가라앉은 것은 배가 아니라 진실이다. 이번 항해에서 비용을 치르게 될 것이다.’라는 문장이 적혀 있다.,focused,,,,DECK10_SUITE,Y,,
P-03_007,P-03,7,evidence,system,SYSTEM,단서 획득: 보조 단서: 협박장 문구,system,,,flag:threat_wording,UI,N,,
P-03_008,P-03,8,inspection,narration,NARRATION,[조사: 줄리언의 사진],observe,,,,DECK10_SUITE,N,,
P-03_009,P-03,9,inspection,inspection,ADRIAN,"사진 뒤편에 ‘오르페우스 호 진수식, 15년 전’이라고 적혀 있다. 리처드의 엄지가 액자 가장자리를 반복해서 문질렀다.",focused,,,,DECK10_SUITE,Y,,
P-03_010,P-03,10,evidence,system,SYSTEM,단서 획득: 보조 단서: 줄리언 사진,system,,,flag:julian_photo,UI,N,,
P-03_011,P-03,11,orpheus,dialogue,ADRIAN,오르페우스 호 사고의 공식 설명을 직접 듣겠습니다.,calm,,,,DECK10_SUITE,Y,,
P-03_012,P-03,12,orpheus,dialogue,RICHARD,"폭풍 속 기관 고장. 밸러스트 제어 실패. 내 아들 줄리언이 현장 책임자였소. 그는 구조 과정에서 죽었고, 회사는 모든 배상을 마쳤소.",formal,,,,DECK10_SUITE,Y,,
P-03_013,P-03,13,orpheus,dialogue,ADRIAN,조사관 매수 의혹은요?,press,,,,DECK10_SUITE,Y,,
P-03_014,P-03,14,orpheus,dialogue,RICHARD,언론의 상상력이오.,cold,,,,DECK10_SUITE,Y,,
P-03_015,P-03,15,orpheus,dialogue,ADRIAN,머서는 상상력을 문서로 묶어 왔습니다.,dry,,,,DECK10_SUITE,Y,,
P-03_016,P-03,16,choice_setup,dialogue,RICHARD,그 문서를 찾아오시오. 그리고 누가 내 이름으로 그자를 불렀는지 밝혀내시오.,commanding,,,,DECK10_SUITE,Y,,
P-03_017,P-03,17,choice,choice,PLAYER_CHOICE,보수를 묻기,choice,,P-03_C1,trust_richard:-1; flag:contract_fee,UI choice,N,P-03_TOPIC,
P-03_018,P-03,18,choice,choice,PLAYER_CHOICE,아들에 관해 묻기,choice,,P-03_C2,trust_richard:+1; flag:julian_empathy,UI choice,N,P-03_TOPIC,
P-03_019,P-03,19,choice_result,branch_response,ADRIAN,회사와 가족의 비밀을 동시에 지키는 일입니다. 보수도 둘 몫이겠군요.,businesslike,choice(P-03_C1),,,DECK10_SUITE,Y,P-03_TOPIC,
P-03_020,P-03,20,choice_result,branch_response,RICHARD,결과를 가져오면 액수는 문제가 아니오. 충성심을 사려는 건 아니니 안심하시오.,offended,choice(P-03_C1),,trust_richard:-1,DECK10_SUITE,Y,P-03_TOPIC,
P-03_021,P-03,21,choice_result,branch_response,ADRIAN,"줄리언이 정말 책임자였다고 믿습니까, 아니면 그렇게 믿어야 했습니까?",gentle,choice(P-03_C2),,,DECK10_SUITE,Y,P-03_TOPIC,
P-03_022,P-03,22,choice_result,branch_response,RICHARD,그 아이는 마지막까지 내게 연락하지 않았소. 침묵은 죄책감과 닮았지. 너무 닮아서 나는 둘을 구분하지 못했소.,pained,choice(P-03_C2),,trust_richard:+1,DECK10_SUITE,Y,P-03_TOPIC,
P-03_023,P-03,23,close,dialogue,RICHARD,"베일. 회사의 이름은 지켜도 좋지만, 내 아들의 이름을 함부로 다루지는 마시오.",warning,,,,DECK10_SUITE,Y,,
P-03_024,P-03,24,close,dialogue,ADRIAN,이름은 증거가 아닙니다. 그 점은 누구에게나 공평하죠.,calm,,,,DECK10_SUITE,Y,,
P-03_025,P-03,25,close,system,SYSTEM,의뢰 등록: 익명 협박과 위조 초대 조사. 리처드 신뢰도 분기가 저장되었습니다.,system,,,scene_unlock:D1-01,UI,N,,
D1-01_001,D1-01,1,opening,narration,NARRATION,아트리움의 유리 천장 아래에서 승객들은 샴페인과 승선 안내서를 바꿔 들고 있었다. 네 사람은 같은 공간에 있으면서 서로 다른 배를 타고 있는 얼굴이었다.,observe,P-03,,,DECK8_ATRIUM,N,,
D1-01_002,D1-01,2,tutorial,system,SYSTEM,자유 대화: 네 인물 모두에게 말을 걸면 심문 키워드가 해금됩니다.,tutorial,,,,Dialogue UI,N,,
