scene_id,order,speaker,text_ko,emotion,condition,choice_id,next_or_effect,stage_direction,voice_required
P-01,1,NARRATION,"항구의 공기는 뜨거웠고, Daniel Mercer는 계절과 어울리지 않는 검은 코트를 입고 있었다.",observe,없음,,,PORT,N
P-01,2,DANIEL,Adrian Vale. 휴가 중인 탐정까지 불렀다면 Hawthorne도 불안하긴 한 모양이군요.,dry,,,,PORT,Y
P-01,3,ADRIAN,우리가 아는 사이였습니까?,calm,,,,PORT,Y
P-01,4,DANIEL,아뇨. 하지만 이 배에 탄 사람들은 곧 서로를 아주 잘 알게 될 겁니다.,grim,,,,PORT,Y
P-01,5,DANIEL,이번 여행이 끝날 때 Richard Hawthorne는 감옥에 있거나 바다에 있을 겁니다.,warning,,그의 경고를 진지하게 듣기 / 농담으로 넘기기,Daniel 신뢰도 ±1,PORT,Y
P-01,6,PLAYER_CHOICE,그의 경고를 진지하게 듣기,choice,없음,P-01_C1,Daniel 신뢰도 ±1,UI choice,N
P-01,7,PLAYER_CHOICE,농담으로 넘기기,choice,없음,P-01_C2,Daniel 신뢰도 ±1,UI choice,N
P-02,1,NARRATION,[승선 명단의 오류] Daniel의 초대가 Richard 명의임을 확인한다.,observe,P-01,,,GANGWAY,N
P-02,2,EVELYN,이 장면에서 확인해야 할 것은 수기 수정된 명단입니다.,neutral,,,,GANGWAY,Y
P-02,3,ADRIAN,먼저 GANGWAY의 시간과 동선을 확인하겠습니다.,focused,,,,GANGWAY,Y
P-02,4,SYSTEM,"단서 업데이트: 수기 수정된 명단, Richard의 당황",system,,,비서실 권한 플래그,GANGWAY,N
P-03,1,NARRATION,[회장의 부탁] 익명 협박장과 Orpheus 사고의 공식 설명을 듣는다.,observe,P-02,,,DECK10_SUITE,N
P-03,2,RICHARD,이 장면에서 확인해야 할 것은 협박장 문구입니다.,neutral,,,,DECK10_SUITE,Y
P-03,3,ADRIAN,먼저 DECK10_SUITE의 시간과 동선을 확인하겠습니다.,focused,,,,DECK10_SUITE,Y
P-03,4,SYSTEM,"단서 업데이트: 협박장 문구, 아들 사진",system,,보수를 묻기 / 아들에 관해 묻기,Richard 신뢰도 분기,DECK10_SUITE,N
P-03,5,PLAYER_CHOICE,보수를 묻기,choice,P-02,P-03_C1,Richard 신뢰도 분기,UI choice,N
P-03,6,PLAYER_CHOICE,아들에 관해 묻기,choice,P-02,P-03_C2,Richard 신뢰도 분기,UI choice,N
D1-01,1,NARRATION,[승객 소개] 주요 용의자들과 자유 대화를 진행한다.,observe,P-03,,,DECK8_ATRIUM,N
D1-01,2,CLAIRE,이 장면에서 확인해야 할 것은 각자의 알리바이 씨앗입니다.,neutral,,,,DECK8_ATRIUM,Y
D1-01,3,ADRIAN,먼저 DECK8_ATRIUM의 시간과 동선을 확인하겠습니다.,focused,,,,DECK8_ATRIUM,Y
D1-01,4,SYSTEM,단서 업데이트: 각자의 알리바이 씨앗,system,,,심문 키워드 개방,DECK8_ATRIUM,N
D1-02,1,NARRATION,[불편한 만찬] Daniel과 Claire의 언쟁을 목격한다.,observe,D1-01,,,DECK9_DINING,N
D1-02,2,DANIEL,이 장면에서 확인해야 할 것은 비자금 기사입니다.,neutral,,,,DECK9_DINING,Y
D1-02,3,ADRIAN,먼저 DECK9_DINING의 시간과 동선을 확인하겠습니다.,focused,,,,DECK9_DINING,Y
D1-02,4,SYSTEM,"단서 업데이트: 비자금 기사, 익명 제보 언급",system,,끼어들기 / 관찰하기,Claire 적대도 변화,DECK9_DINING,N
D1-02,5,PLAYER_CHOICE,끼어들기,choice,D1-01,D1-02_C1,Claire 적대도 변화,UI choice,N
D1-02,6,PLAYER_CHOICE,관찰하기,choice,D1-01,D1-02_C2,Claire 적대도 변화,UI choice,N
D1-03,1,NARRATION,[선상파티] 파티장 동선과 카메라 위치를 조사한다.,observe,D1-02,,,DECK9_BALLROOM,N
D1-03,2,전원,이 장면에서 확인해야 할 것은 Evelyn 연속 촬영입니다.,neutral,,,,DECK9_BALLROOM,Y
D1-03,3,ADRIAN,먼저 DECK9_BALLROOM의 시간과 동선을 확인하겠습니다.,focused,,,,DECK9_BALLROOM,Y
D1-03,4,SYSTEM,"단서 업데이트: Evelyn 연속 촬영, Richard 음주",system,,Daniel을 추적 / 파티 인물 탐문,초기 단서 우선순위,DECK9_BALLROOM,N
D1-03,5,PLAYER_CHOICE,Daniel을 추적,choice,D1-02,D1-03_C1,초기 단서 우선순위,UI choice,N
D1-03,6,PLAYER_CHOICE,파티 인물 탐문,choice,D1-02,D1-03_C2,초기 단서 우선순위,UI choice,N
D1-04,1,NARRATION,[사라진 기자] Daniel이 서비스 계단으로 향한 사실을 알아낸다.,observe,D1-03,,,SERVICE7,N
D1-04,2,승무원_NPC,이 장면에서 확인해야 할 것은 서비스 출입문 개폐 로그입니다.,neutral,,,,SERVICE7,Y
D1-04,3,ADRIAN,먼저 SERVICE7의 시간과 동선을 확인하겠습니다.,focused,,,,SERVICE7,Y
D1-04,4,SYSTEM,단서 업데이트: 서비스 출입문 개폐 로그,system,,경비에게 알리기 / 몰래 추적,발견 시점 변화,SERVICE7,N
D1-04,5,PLAYER_CHOICE,경비에게 알리기,choice,D1-03,D1-04_C1,발견 시점 변화,UI choice,N
D1-04,6,PLAYER_CHOICE,몰래 추적,choice,D1-03,D1-04_C2,발견 시점 변화,UI choice,N
D1-05,1,NARRATION,[수상한 호출] Evelyn이 Richard에게 Daniel의 대기 사실을 알린다.,observe,D1-03,,,DECK9_BALLROOM,N
D1-05,2,EVELYN,이 장면에서 확인해야 할 것은 Richard 명의 메시지입니다.,neutral,,,,DECK9_BALLROOM,Y
D1-05,3,ADRIAN,먼저 DECK9_BALLROOM의 시간과 동선을 확인하겠습니다.,focused,,,,DECK9_BALLROOM,Y
D1-05,4,SYSTEM,단서 업데이트: Richard 명의 메시지,system,,,메시지 메타데이터 단서,DECK9_BALLROOM,N
D1-06,1,RICHARD,놀라지 마시오. 그리고 큰 소리를 내지 마시오.,shaken,D1-05,,,HORIZON,Y
D1-06,2,ADRIAN,문은 열려 있군요.,focused,,,,HORIZON,Y
D1-06,3,HELENA,맥박 없습니다. 체온이 너무 낮아요.,clinical,,,,HORIZON,Y
D1-06,4,ADRIAN,피를 밟은 흔적이 피해자 것밖에 없습니다.,focused,,,,HORIZON,Y
D1-06,5,RICHARD,그렇다면 범인은 어디로 갔다는 거요?,fear,,,,HORIZON,Y
D1-06,6,ADRIAN,그 질문부터 의심해야겠습니다.,cold,,즉시 봉쇄 / 먼저 시신 확인,현장 보존도,HORIZON,Y
D1-06,7,PLAYER_CHOICE,즉시 봉쇄,choice,D1-05,D1-06_C1,현장 보존도,UI choice,N
D1-06,8,PLAYER_CHOICE,먼저 시신 확인,choice,D1-05,D1-06_C2,현장 보존도,UI choice,N
D1-07,1,NARRATION,[비밀 수사 계약] 회항이 어려운 이유와 비밀수사 조건을 정한다.,observe,D1-06,,,MEDBAY,N
D1-07,2,RICHARD,이 장면에서 확인해야 할 것은 공식 발표: 급성 질환입니다.,neutral,,,,MEDBAY,Y
D1-07,3,ADRIAN,먼저 MEDBAY의 시간과 동선을 확인하겠습니다.,focused,,,,MEDBAY,Y
D1-07,4,SYSTEM,단서 업데이트: 공식 발표: 급성 질환,system,,수락 / 제한 조건 제시,게임 본편 시작,MEDBAY,N
D1-07,5,PLAYER_CHOICE,수락,choice,D1-06,D1-07_C1,게임 본편 시작,UI choice,N
D1-07,6,PLAYER_CHOICE,제한 조건 제시,choice,D1-06,D1-07_C2,게임 본편 시작,UI choice,N
D2-01,1,MARCUS,외벽 발판으로 나갔다면 센서가 기록했을 겁니다. 어젯밤엔 파도도 높았습니다.,defensive,D1-07,,,HORIZON,Y
D2-01,2,ADRIAN,난간의 염분막이 끊기지 않았습니다. 아무도 잡지 않았어요.,focused,,,,HORIZON,Y
D2-01,3,MARCUS,덕트는요?,tense,,,,HORIZON,Y
D2-01,4,ADRIAN,먼지가 너무 깨끗합니다. 이상할 만큼.,focused,,,,HORIZON,Y
D2-01,5,ADRIAN,출구는 셋이지만 사용된 출구는 없습니다.,deduction,,,밀실 명제 등록,HORIZON,Y
D2-02,1,NARRATION,[피의 방향] 혈흔 퍼즐로 수직 낙하와 비산혈흔 부재를 확인한다.,observe,D2-01,,,HORIZON,N
D2-02,2,HELENA,이 장면에서 확인해야 할 것은 피 웅덩이 중심 불일치입니다.,neutral,,,,HORIZON,Y
D2-02,3,ADRIAN,먼저 HORIZON의 시간과 동선을 확인하겠습니다.,focused,,,,HORIZON,Y
D2-02,4,SYSTEM,단서 업데이트: 피 웅덩이 중심 불일치,system,,,시신 투입 가설 1,HORIZON,N
D2-03,1,NARRATION,[사망 시각] 약물과 저온 환경이 사망 추정을 왜곡했음을 의심한다.,observe,D2-02,,,MEDBAY,N
D2-03,2,HELENA,이 장면에서 확인해야 할 것은 안정제 처방입니다.,neutral,,,,MEDBAY,Y
D2-03,3,ADRIAN,먼저 MEDBAY의 시간과 동선을 확인하겠습니다.,focused,,,,MEDBAY,Y
D2-03,4,SYSTEM,"단서 업데이트: 안정제 처방, 체온 저하",system,,의사를 압박 / 협조 요청,Helena 신뢰도,MEDBAY,N
D2-03,5,PLAYER_CHOICE,의사를 압박,choice,D2-02,D2-03_C1,Helena 신뢰도,UI choice,N
D2-03,6,PLAYER_CHOICE,협조 요청,choice,D2-02,D2-03_C2,Helena 신뢰도,UI choice,N
D2-04,1,NARRATION,[카메라의 맹점] 출입자는 없지만 감지기 오류가 있었음을 찾는다.,observe,D2-01,,,SECURITY,N
D2-04,2,MARCUS,이 장면에서 확인해야 할 것은 22:18 화재감지기 4초 오류입니다.,neutral,,,,SECURITY,Y
D2-04,3,ADRIAN,먼저 SECURITY의 시간과 동선을 확인하겠습니다.,focused,,,,SECURITY,Y
D2-04,4,SYSTEM,단서 업데이트: 22:18 화재감지기 4초 오류,system,,영상만 보기 / 설비 로그 대조,천장 조사 개방,SECURITY,N
D2-04,5,PLAYER_CHOICE,영상만 보기,choice,D2-01,D2-04_C1,천장 조사 개방,UI choice,N
D2-04,6,PLAYER_CHOICE,설비 로그 대조,choice,D2-01,D2-04_C2,천장 조사 개방,UI choice,N
D2-05,1,NARRATION,[천장 패널] 장식 패널 먼지와 미세 섬유를 채취한다.,observe,D2-04,,,HORIZON,N
D2-05,2,OWEN,이 장면에서 확인해야 할 것은 최근 개방 흔적입니다.,neutral,,,,HORIZON,Y
D2-05,3,ADRIAN,먼저 HORIZON의 시간과 동선을 확인하겠습니다.,focused,,,,HORIZON,Y
D2-05,4,SYSTEM,"단서 업데이트: 최근 개방 흔적, 검은 합성섬유",system,,,화물 레일 떡밥,HORIZON,N
D2-06,1,NARRATION,[기자의 객실] 예약 기사와 Richard 유죄 가설을 확인한다.,observe,D2-03,,,CABIN_DANIEL,N
D2-06,2,CLAIRE(선택),이 장면에서 확인해야 할 것은 기사 초안입니다.,neutral,,,,CABIN_DANIEL,Y
D2-06,3,ADRIAN,먼저 CABIN_DANIEL의 시간과 동선을 확인하겠습니다.,focused,,,,CABIN_DANIEL,Y
D2-06,4,SYSTEM,"단서 업데이트: 기사 초안, 익명 제보 채팅 일부",system,,,Claire 절도 복선,CABIN_DANIEL,N
D3-01,1,NARRATION,[예약 기사 공개] 승객 사이에 Richard 범인설이 퍼진다.,observe,D2-06,,,NEWS_LOUNGE,N
D3-01,2,RICHARD,이 장면에서 확인해야 할 것은 기사 공개 시각입니다.,neutral,,,,NEWS_LOUNGE,Y
D3-01,3,ADRIAN,먼저 NEWS_LOUNGE의 시간과 동선을 확인하겠습니다.,focused,,,,NEWS_LOUNGE,Y
D3-01,4,SYSTEM,"단서 업데이트: 기사 공개 시각, 삭제된 실명",system,,공개 해명 권고 / 침묵 유지,승객 불안 수치,NEWS_LOUNGE,N
D3-01,5,PLAYER_CHOICE,공개 해명 권고,choice,D2-06,D3-01_C1,승객 불안 수치,UI choice,N
D3-01,6,PLAYER_CHOICE,침묵 유지,choice,D2-06,D3-01_C2,승객 불안 수치,UI choice,N
D3-02,1,RICHARD,나는 조사관들에게 돈을 줬소. 기록도 숨겼지.,ashamed,D3-01,,,DECK10_SUITE,Y
D3-02,2,ADRIAN,침몰을 지시했습니까?,hard,,,,DECK10_SUITE,Y
D3-02,3,RICHARD,아니오. 나는 내 아들이 했다고 믿었소. 그래서 죽은 아이의 죄까지 감췄소.,broken,,,,DECK10_SUITE,Y
D3-02,4,ADRIAN,당신이 숨긴 진실이 다른 사람의 거짓말을 보호했습니다.,cold,,강경 심문 / 공감 심문,Richard 완전 자백 여부,DECK10_SUITE,Y
D3-02,5,PLAYER_CHOICE,강경 심문,choice,D3-01,D3-02_C1,Richard 완전 자백 여부,UI choice,N
