scene_id,chapter,title,time_label,location,objective,entry_condition,next_scene,characters,clues,choices,dialogue_line_count,voiced_line_count,choice_count,hint_count,status
P-01,프롤로그,항구의 기자,15:10,PORT,관찰 튜토리얼 후 다니엘과 대화,없음,P-02,다니엘,구겨진 초대장; 암호화 메신저 알림,경고를 진지하게 듣기 / 농담으로 넘기기,26,17,2,0,COMPLETE
P-02,프롤로그,승선 명단의 오류,15:35,GANGWAY,다니엘의 초대가 리처드 명의임을 확인,P-01,P-03,이블린; 리처드,수기 수정된 명단; 리처드의 당황,이블린에게 명단 수정자를 묻기,23,16,1,0,COMPLETE
P-03,프롤로그,회장의 부탁,16:20,DECK10_SUITE,익명 협박장과 오르페우스 호 사고의 공식 설명 청취,P-02,D1-01,리처드,협박장 문구; 아들 사진,보수를 묻기 / 아들에 관해 묻기,25,17,2,0,COMPLETE
D1-01,1일 차,승객 소개,17:00,DECK8_ATRIUM,주요 용의자들과 자유 대화,P-03,D1-02,클레어; 마커스; 헬레나; 오언,각자의 알리바이 씨앗,대화 순서 자유,28,21,4,0,COMPLETE
D1-02,1일 차,불편한 만찬,19:30,DECK9_DINING,다니엘과 클레어의 언쟁 목격,D1-01,D1-03,다니엘; 클레어; 이블린,비자금 기사; 익명 제보 언급,끼어들기 / 관찰하기,26,18,2,0,COMPLETE
D1-03,1일 차,선상파티,21:00,DECK9_BALLROOM,파티장 동선과 카메라 위치 조사,D1-02,D1-04 또는 D1-05,전원,이블린 연속 촬영; 리처드 음주,다니엘 추적 / 파티 인물 탐문,28,18,2,0,COMPLETE
D1-04,1일 차,사라진 기자,21:22,SERVICE7,다니엘의 마지막 이동을 확인하고 행사 운영 계정을 조사하기 위해 볼룸으로 복귀,D1-03,D1-05,객실 승무원,서비스 출입문 개폐 로그,경비에게 알리기 / 몰래 추적,22,13,2,0,COMPLETE
D1-05,1일 차,수상한 호출,22:35,DECK9_BALLROOM,이블린이 리처드에게 다니엘의 대기 사실 전달,D1-03,D1-06,이블린; 리처드,리처드 명의 메시지,메시지 원문 확인 요구,18,14,0,0,COMPLETE
D1-06,1일 차,발견,22:45,HORIZON,호라이즌 룸에서 다니엘의 시신 발견,D1-05,D1-07,리처드; 헬레나,열린 문; 혈흔; 넘친 물; 녹음기,즉시 봉쇄 / 먼저 시신 확인,32,17,2,0,COMPLETE
D1-07,1일 차,비밀 수사 계약,23:10,MEDBAY,회항이 어려운 이유와 비밀수사 조건 결정,D1-06,D2-01,리처드; 토머스; 마커스; 헬레나,공식 발표: 급성 질환,수락 / 제한 조건 제시,20,16,2,0,COMPLETE
D2-01,2일 차,현장 재검증,07:30,HORIZON,가능한 출구 세 곳 검사,D1-07,D2-02 또는 D2-04,마커스,젖지 않은 발판; 온전한 먼지; 무진동 로그,출구별 검사 순서,31,17,3,3,COMPLETE
D2-02,2일 차,피의 방향,08:40,HORIZON,혈흔 퍼즐로 수직 낙하와 비산혈흔 부재 확인,D2-01,D2-03,헬레나,피 웅덩이 중심 불일치,혈흔 조각 배열,18,10,0,3,COMPLETE
D2-03,2일 차,사망 시각,09:30,MEDBAY,약물과 저온 환경이 사망 추정을 왜곡했음을 의심,D2-02,D2-06,헬레나,안정제 처방; 체온 저하,의사를 압박 / 협조 요청,20,12,2,0,COMPLETE
D2-04,2일 차,카메라의 맹점,11:00,SECURITY,출입자는 없지만 감지기 오류가 있었음을 확인,D2-01,D2-05,마커스,22:18 화재감지기 4초 오류,영상만 보기 / 설비 로그 대조,21,11,2,3,COMPLETE
D2-05,2일 차,천장 패널,14:00,HORIZON,장식 패널 먼지와 미세 섬유 채취,D2-04,D2-06,오언,최근 개방 흔적; 검은 합성섬유,오언 호출 여부,21,12,2,0,COMPLETE
D2-06,2일 차,기자의 객실,17:20,CABIN_DANIEL,예약 기사와 리처드 유죄 가설 확인,D2-03,D3-01,클레어(선택),기사 초안; 익명 제보 채팅 일부,태블릿 찾기,23,14,0,0,COMPLETE
D3-01,3일 차,예약 기사 공개,08:00,NEWS_LOUNGE,승객 사이에 리처드 범인설 확산,D2-06,D3-02,리처드; 클레어,기사 공개 시각; 삭제된 실명,공개 해명 권고 / 침묵 유지,24,17,2,0,COMPLETE
